| according | A263 | (1, 1), (6, 1), (16, 2), (19, 1), (24, 1), (25, 2), (27, 1), (29, 1), (32, 1), (41, 1), (46, 1), (47, 1), (53, 2), (56, 2), (63, 1), (64, 11), (66, 1) |
| techcrunch | T265 | (1, 1) |
| algorithm | A426 | (1, 1) |
| weak | W200 | (1, 2) |
| could | C430 | (1, 2), (4, 2), (10, 7), (11, 4), (16, 13), (17, 1), (19, 3), (22, 1), (24, 2), (25, 1), (26, 1), (28, 1), (29, 1), (30, 1), (32, 2), (33, 4), (34, 1), (38, 1), (45, 2), (48, 4), (49, 1), (54, 2), (57, 13), (60, 1), (61, 3), (64, 4), (66, 2) |
| broken | B625 | (1, 1) |
| persistent | P623 | (1, 1), (56, 1) |
| hacker | H260 | (1, 2) |
| silent | S453 | (1, 2) |
| treatment | T635 | (1, 1), (17, 1), (48, 11), (56, 1), (64, 1) |
| haveibeenpwned | H151 | (1, 1) |
| founder | F536 | (1, 1), (64, 1) |
| troy | T600 | (1, 1) |
| hunt | H530 | (1, 1), (60, 1) |
| tipped | T130 | (1, 1), (45, 1) |
| leak | L200 | (1, 1), (29, 1), (32, 5), (64, 2) |
| described | D261 | (1, 1), (38, 1), (48, 2), (57, 1), (64, 1) |
| incident | I523 | (1, 2) |
| typical | T124 | (1, 1), (16, 1), (26, 1), (46, 1) |
| forum | F650 | (1, 1) |
| breach | B620 | (1, 3) |
| albeit | A413 | (1, 1) |
| super | S160 | (1, 1), (11, 1), (34, 2), (60, 1) |
| content | C535 | (1, 4), (2, 8), (6, 1), (10, 1), (15, 3), (17, 2), (24, 1), (37, 1), (38, 5), (44, 8), (45, 1), (46, 1), (49, 1), (57, 4), (60, 1) |
| however | H160 | (1, 1), (4, 1), (7, 1), (11, 3), (14, 2), (17, 2), (20, 1), (21, 3), (22, 3), (26, 1), (38, 3), (42, 1), (45, 10), (48, 3), (56, 1), (59, 1), (60, 1), (61, 1), (63, 1), (64, 2) |
| includes | I524 | (1, 1), (11, 1), (15, 1), (16, 1), (33, 2), (37, 1), (38, 1), (45, 1), (47, 1), (48, 1), (49, 1), (51, 1), (52, 1), (53, 1), (54, 1), (55, 1), (56, 1), (57, 1), (58, 1), (64, 2) |
| also | A420 | (1, 2), (2, 6), (4, 1), (6, 2), (8, 1), (10, 3), (11, 3), (14, 3), (15, 2), (16, 4), (17, 2), (19, 1), (20, 4), (21, 9), (24, 2), (25, 1), (26, 3), (27, 1), (29, 3), (30, 2), (31, 2), (32, 3), (33, 6), (34, 6), (35, 2), (36, 1), (37, 3), (38, 4), (41, 2), (44, 6), (45, 25), (46, 3), (47, 4), (48, 5), (49, 4), (51, 6), (52, 4), (53, 4), (54, 4), (55, 4), (56, 9), (57, 12), (58, 4), (59, 2), (60, 2), (63, 1), (64, 14), (65, 1) |
| messages | M200 | (1, 1), (34, 1), (38, 1) |
| users | U262 | (1, 2), (6, 1), (10, 2), (15, 1), (17, 6), (19, 2), (29, 2), (38, 10), (47, 1), (48, 1), (49, 1), (51, 2), (52, 1), (53, 1), (54, 1), (55, 1), (56, 1), (57, 1), (58, 1) |
| exchanged | E252 | (1, 1), (57, 1) |
| including | I524 | (1, 2), (2, 3), (6, 1), (8, 1), (11, 2), (16, 1), (19, 1), (21, 1), (27, 1), (28, 1), (32, 1), (33, 3), (34, 4), (35, 2), (37, 2), (42, 1), (43, 1), (44, 3), (45, 2), (46, 1), (47, 2), (48, 2), (49, 1), (51, 1), (52, 1), (53, 1), (54, 1), (55, 1), (56, 2), (57, 1), (61, 1), (64, 4) |
| arranging | A652 | (1, 1) |
| meetings | M352 | (1, 1), (54, 1) |
| describing | D261 | (1, 1), (64, 1) |
| total | T340 | (1, 1), (8, 1), (30, 2), (33, 5), (60, 3) |
| people | P140 | (1, 2), (2, 4), (4, 2), (8, 3), (10, 1), (11, 3), (19, 1), (20, 1), (21, 1), (24, 1), (25, 2), (29, 1), (33, 1), (34, 3), (38, 4), (43, 1), (44, 4), (45, 1), (46, 2), (47, 1), (48, 6), (49, 7), (53, 1), (56, 7), (57, 41), (58, 2), (59, 1), (60, 1), (64, 5) |
| affected | A123 | (1, 1), (66, 1) |
| publication | P142 | (1, 1), (57, 7) |
| states | S320 | (1, 1), (6, 1), (31, 2), (47, 1), (48, 3), (56, 2), (64, 5) |
| roughly | R240 | (1, 1), (25, 1), (60, 1) |
| compromised | C516 | (1, 2), (57, 2) |
| together | T236 | (1, 1), (16, 1), (26, 1), (32, 1), (64, 2), (67, 1) |
| moment | M530 | (1, 1), (4, 1), (10, 1), (32, 1), (43, 1), (54, 1), (57, 1) |
| owners | O562 | (1, 2), (28, 1), (31, 1) |
| maintainers | M535 | (1, 1) |
| matter | M360 | (1, 1), (17, 1), (21, 1), (34, 2), (49, 1), (60, 2), (64, 1) |
| share | S600 | (1, 2), (2, 1), (34, 3), (38, 2), (44, 1), (56, 1), (58, 1), (64, 1) |
| almost | A452 | (1, 1), (8, 2), (10, 1), (11, 2), (16, 2), (23, 1), (25, 1), (26, 1), (33, 3), (34, 2), (51, 1), (57, 1), (61, 1) |
| identical | I353 | (1, 1), (31, 1), (33, 1), (60, 1) |
| visual | V240 | (1, 1), (14, 1), (17, 1), (49, 2) |
| design | D250 | (1, 1), (3, 1), (5, 1), (9, 1), (10, 1), (12, 1), (13, 1), (14, 1), (16, 4), (17, 4), (18, 1), (20, 2), (29, 1), (30, 1), (34, 4), (39, 1), (40, 1), (41, 2), (45, 4), (64, 2) |
| might | M230 | (1, 4), (4, 2), (6, 2), (8, 2), (10, 1), (11, 1), (15, 2), (16, 7), (19, 1), (20, 1), (25, 1), (26, 1), (29, 2), (32, 3), (33, 3), (38, 1), (41, 1), (42, 1), (43, 1), (45, 1), (48, 1), (49, 1), (56, 1), (57, 6), (60, 1), (62, 1), (64, 2) |
| mean | M500 | (1, 1), (11, 1), (33, 1), (45, 2), (57, 17) |
| operated | O163 | (1, 1), (64, 1) |
| company | C515 | (1, 1), (2, 2), (7, 1), (8, 1), (10, 2), (16, 3), (17, 1), (21, 4), (25, 1), (27, 4), (30, 2), (31, 1), (32, 1), (34, 1), (37, 3), (38, 2), (41, 1), (44, 2), (56, 1), (60, 1), (64, 10) |
| using | U252 | (1, 1), (2, 1), (4, 1), (10, 4), (14, 1), (15, 3), (17, 2), (22, 1), (33, 1), (34, 4), (38, 2), (41, 1), (44, 1), (45, 3), (48, 1), (56, 2), (57, 5), (61, 1), (64, 5) |
| management | M525 | (1, 1), (37, 2), (64, 1) |
| system | S235 | (1, 1), (2, 2), (22, 1), (30, 11), (38, 1), (43, 3), (44, 2), (45, 2), (49, 1), (57, 6), (59, 2), (60, 4), (63, 1), (64, 5), (66, 1), (67, 1) |
| cms | C520 | (1, 1) |
| attackers | A326 | (1, 1), (37, 1), (42, 1) |
| managed | M523 | (1, 1), (10, 1), (21, 1), (23, 1), (34, 2), (46, 1) |
| unfortunately | U516 | (1, 1), (8, 1), (57, 5) |
| updates | U132 | (1, 1), (2, 1), (14, 2), (29, 2), (41, 1), (44, 1), (46, 1), (64, 2) |
| impossible | I512 | (1, 1), (28, 1) |
| know | K500 | (1, 1), (2, 7), (6, 1), (8, 7), (10, 3), (11, 4), (14, 3), (16, 3), (19, 1), (22, 2), (26, 3), (27, 1), (29, 1), (32, 3), (33, 3), (34, 3), (35, 2), (43, 2), (44, 7), (45, 1), (49, 2), (57, 11), (60, 1), (64, 3) |
| exactly | E234 | (1, 1), (29, 1), (43, 1), (45, 1), (57, 5), (60, 1) |
| threat | T630 | (1, 1), (37, 3) |
| actors | A236 | (1, 1), (8, 1), (35, 1), (37, 3) |
| discovered | D216 | (1, 1), (2, 1), (6, 1), (44, 1), (45, 1), (57, 1), (60, 1), (61, 1), (63, 1) |
| used | U230 | (1, 1), (4, 2), (10, 1), (14, 1), (16, 1), (19, 1), (20, 1), (22, 1), (24, 1), (33, 4), (34, 2), (36, 1), (37, 1), (38, 1), (41, 2), (45, 1), (46, 1), (48, 1), (57, 3), (61, 4), (64, 8), (66, 1) |
| known | K500 | (1, 1), (2, 1), (4, 1), (26, 1), (42, 1), (44, 1), (45, 4), (49, 1), (56, 1), (57, 3), (60, 2), (61, 2), (64, 2), (66, 1), (67, 1) |
| malware | M460 | (1, 1) |
| unique | U520 | (1, 1), (17, 1), (27, 1), (28, 1), (34, 4), (47, 1), (48, 1), (49, 2), (51, 1), (52, 1), (53, 1), (54, 1), (55, 1), (56, 1), (57, 1), (58, 1) |
| social | S240 | (1, 1), (2, 4), (8, 1), (11, 1), (17, 2), (33, 1), (34, 2), (38, 4), (44, 4), (47, 5), (48, 1), (49, 2), (56, 3) |
| engineering | E525 | (1, 1), (64, 1) |
| tactics | T232 | (1, 1), (19, 1) |
| decrypt | D261 | (1, 1) |
| run | R500 | (1, 1), (6, 1), (15, 1), (24, 1), (34, 2), (43, 2) |
| potent | P353 | (1, 1) |
| financial | F524 | (1, 1), (22, 1), (64, 1) |
| services | S612 | (1, 2), (2, 2), (38, 1), (44, 2), (48, 1), (64, 1) |
| consumers | C525 | (1, 1) |
| often | O135 | (1, 1), (2, 2), (10, 1), (21, 1), (34, 1), (42, 1), (43, 1), (44, 2), (47, 1), (48, 1), (49, 1), (53, 1), (54, 1), (57, 8) |
| use | U200 | (1, 1), (2, 6), (4, 1), (10, 4), (15, 1), (16, 2), (17, 1), (19, 4), (21, 1), (22, 1), (24, 1), (26, 1), (30, 2), (33, 4), (34, 9), (36, 1), (37, 1), (41, 2), (43, 1), (44, 6), (45, 12), (46, 1), (47, 5), (48, 5), (49, 5), (51, 5), (52, 5), (53, 5), (54, 5), (55, 5), (56, 6), (57, 9), (58, 5), (62, 1), (64, 8) |
| combinations | C515 | (1, 1) |
| across | A262 | (1, 1), (2, 1), (8, 11), (15, 1), (16, 1), (19, 1), (25, 1), (26, 1), (32, 1), (33, 1), (35, 2), (43, 1), (44, 1), (45, 1), (49, 1), (55, 1), (56, 1), (57, 2), (58, 1), (60, 1), (63, 1), (64, 4) |
| wide | W300 | (1, 1), (30, 1), (49, 1), (54, 1), (57, 1), (63, 1) |
| array | A600 | (1, 1), (61, 2), (65, 1) |
| end | E530 | (1, 1), (2, 2), (8, 1), (11, 3), (23, 1), (28, 1), (32, 1), (44, 2), (45, 1), (46, 1), (53, 1), (57, 1), (60, 1), (64, 6) |
| lot | L300 | (1, 1), (2, 1), (11, 2), (19, 1), (22, 1), (26, 1), (29, 2), (33, 2), (44, 1), (45, 2), (51, 1), (53, 1), (57, 14), (61, 1) |
| destructive | D236 | (1, 1) |
| pro | P600 | (1, 2), (2, 7), (6, 3), (15, 4), (16, 21), (17, 3), (23, 2), (25, 6), (27, 2), (30, 1), (34, 20), (37, 2), (38, 2), (44, 7), (45, 1) |
| subscribe | S126 | (1, 1), (6, 1), (17, 1), (23, 1), (27, 1), (37, 1), (38, 1) |
| newsletter | N243 | (1, 2), (2, 2), (4, 1), (6, 2), (7, 1), (8, 1), (10, 1), (11, 1), (14, 1), (15, 1), (16, 1), (17, 2), (19, 1), (20, 1), (21, 1), (22, 1), (23, 2), (24, 1), (25, 1), (26, 1), (27, 2), (28, 1), (29, 1), (30, 1), (31, 1), (32, 1), (33, 1), (34, 1), (35, 1), (36, 1), (37, 2), (38, 2), (41, 1), (42, 1), (43, 1), (44, 2), (45, 1), (46, 1) |
| sign | S250 | (1, 1), (2, 2), (4, 1), (6, 1), (7, 1), (8, 1), (10, 1), (11, 1), (14, 1), (15, 1), (16, 1), (17, 2), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1), (30, 1), (31, 1), (32, 1), (33, 1), (34, 1), (35, 1), (36, 1), (37, 1), (38, 1), (41, 1), (42, 1), (43, 1), (44, 2), (45, 1), (46, 1), (64, 1) |
| techradar | T263 | (1, 1), (2, 44), (4, 2), (6, 1), (7, 2), (8, 5), (10, 3), (11, 4), (14, 2), (15, 2), (16, 2), (17, 3), (19, 2), (20, 2), (21, 2), (22, 2), (23, 1), (24, 1), (25, 2), (26, 2), (27, 1), (28, 3), (29, 2), (30, 1), (31, 1), (32, 2), (33, 4), (34, 2), (35, 2), (36, 2), (37, 1), (38, 3), (41, 1), (42, 2), (43, 2), (44, 44), (45, 3), (46, 3) |
| get | G300 | (1, 1), (2, 5), (4, 3), (6, 3), (7, 3), (8, 2), (10, 3), (11, 4), (16, 6), (17, 2), (19, 3), (20, 3), (21, 4), (23, 1), (25, 2), (26, 1), (27, 1), (28, 1), (29, 2), (30, 2), (31, 3), (32, 1), (33, 3), (34, 1), (35, 1), (37, 1), (38, 1), (41, 1), (42, 1), (43, 2), (44, 5), (45, 4), (46, 1), (49, 2), (53, 1), (57, 17), (59, 1), (64, 4) |
| top | T100 | (1, 1), (6, 1), (16, 1), (17, 1), (23, 1), (24, 3), (25, 1), (27, 2), (29, 1), (34, 5), (37, 1), (38, 1), (43, 1), (45, 2), (64, 1), (67, 1) |
| news | N200 | (1, 2), (2, 12), (4, 2), (6, 2), (7, 3), (8, 4), (10, 2), (11, 2), (14, 3), (15, 3), (16, 5), (17, 3), (19, 3), (20, 4), (21, 3), (22, 4), (23, 2), (24, 2), (25, 5), (26, 2), (27, 2), (28, 2), (29, 4), (30, 2), (31, 2), (32, 3), (33, 2), (34, 2), (35, 4), (36, 2), (37, 2), (38, 3), (41, 3), (42, 2), (43, 3), (44, 12), (45, 2), (46, 2), (48, 2), (52, 1), (53, 1), (60, 2), (64, 12) |
| opinion | O150 | (1, 1), (2, 3), (4, 1), (6, 1), (7, 1), (8, 2), (10, 1), (11, 1), (14, 1), (15, 1), (16, 1), (17, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1), (30, 2), (31, 1), (32, 1), (33, 1), (34, 2), (35, 2), (36, 1), (37, 1), (38, 1), (41, 1), (42, 1), (43, 1), (44, 3), (45, 1), (46, 1) |
| features | F362 | (1, 1), (2, 3), (6, 1), (7, 1), (8, 1), (14, 1), (16, 2), (17, 2), (19, 1), (20, 1), (22, 1), (23, 1), (25, 3), (27, 1), (29, 4), (30, 4), (32, 1), (34, 11), (35, 1), (36, 4), (37, 1), (38, 2), (41, 2), (42, 1), (43, 1), (44, 3), (45, 4), (46, 1), (47, 1), (48, 1), (49, 1), (51, 1), (52, 1), (53, 1), (54, 1), (55, 1), (56, 1), (57, 2), (58, 1), (64, 2) |
| guidance | G352 | (1, 1), (2, 1), (6, 1), (17, 1), (23, 1), (27, 1), (37, 1), (38, 1), (44, 1), (45, 1) |
| business | B252 | (1, 1), (2, 4), (3, 1), (5, 1), (6, 1), (9, 1), (12, 1), (13, 1), (17, 1), (18, 1), (20, 1), (23, 1), (25, 1), (27, 1), (29, 1), (37, 2), (38, 1), (39, 1), (40, 1), (44, 4), (49, 1), (51, 1), (57, 1), (64, 1) |
| needs | N320 | (1, 1), (6, 1), (16, 1), (17, 1), (23, 1), (25, 1), (27, 1), (28, 1), (33, 1), (34, 3), (37, 1), (38, 1), (43, 1), (56, 1), (57, 1) |
| succeed | S230 | (1, 1), (6, 1), (17, 1), (23, 1), (27, 1), (37, 1), (38, 1) |
| contact | C532 | (1, 1), (2, 3), (4, 1), (6, 1), (7, 1), (8, 1), (10, 1), (11, 1), (14, 1), (15, 1), (16, 1), (17, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1), (30, 1), (31, 1), (32, 1), (33, 1), (34, 1), (35, 1), (36, 1), (37, 1), (38, 1), (41, 1), (42, 1), (43, 1), (44, 3), (45, 2), (46, 1), (47, 1), (64, 1) |
| offers | O162 | (1, 1), (2, 1), (4, 1), (6, 1), (7, 1), (8, 1), (10, 1), (11, 1), (14, 1), (15, 1), (16, 1), (17, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1), (25, 2), (26, 1), (27, 1), (28, 2), (29, 1), (30, 1), (31, 1), (32, 2), (33, 1), (34, 5), (35, 1), (36, 1), (37, 1), (38, 1), (41, 1), (42, 1), (43, 1), (44, 1), (45, 4), (46, 1), (49, 1), (64, 1) |
| future | F360 | (1, 1), (2, 12), (4, 1), (6, 1), (7, 2), (8, 1), (10, 2), (11, 1), (14, 1), (15, 2), (16, 2), (17, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 2), (25, 2), (26, 2), (27, 3), (28, 2), (29, 1), (30, 1), (31, 1), (32, 3), (33, 1), (34, 1), (35, 1), (36, 1), (37, 1), (38, 4), (41, 1), (42, 1), (43, 2), (44, 12), (45, 1), (46, 2), (48, 1), (49, 1), (59, 1), (64, 7) |
| brandsreceive | B653 | (1, 1), (2, 1), (4, 1), (6, 1), (7, 1), (8, 1), (10, 1), (11, 1), (14, 1), (15, 1), (16, 1), (17, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1), (30, 1), (31, 1), (32, 1), (33, 1), (34, 1), (35, 1), (36, 1), (37, 1), (38, 1), (41, 1), (42, 1), (43, 1), (44, 1), (45, 1), (46, 1) |
| us | U200 | (1, 1), (2, 11), (4, 1), (6, 1), (7, 1), (8, 2), (10, 1), (11, 1), (14, 2), (15, 1), (16, 3), (17, 3), (19, 1), (20, 1), (21, 3), (22, 1), (23, 2), (24, 1), (25, 2), (26, 3), (27, 1), (28, 2), (29, 2), (30, 1), (31, 2), (32, 4), (33, 1), (34, 3), (35, 3), (36, 1), (37, 1), (38, 1), (41, 1), (42, 1), (43, 1), (44, 11), (45, 2), (46, 1), (47, 1), (48, 1), (49, 4), (50, 1), (51, 1), (52, 1), (53, 3), (54, 1), (55, 1), (56, 1), (57, 12), (58, 1), (60, 1), (61, 5), (64, 2) |
| behalf | B410 | (1, 1), (2, 1), (4, 1), (6, 1), (7, 1), (8, 1), (10, 1), (11, 1), (14, 1), (15, 1), (16, 1), (17, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1), (30, 1), (31, 1), (32, 1), (33, 1), (34, 1), (35, 1), (36, 1), (37, 1), (38, 1), (41, 1), (42, 1), (43, 1), (44, 1), (45, 1), (46, 1), (64, 1) |
| trusted | T623 | (1, 1), (2, 3), (4, 1), (6, 1), (7, 1), (8, 1), (10, 1), (11, 1), (14, 1), (15, 1), (16, 2), (17, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1), (30, 1), (31, 1), (32, 1), (33, 1), (34, 1), (35, 1), (36, 1), (37, 1), (38, 1), (41, 1), (42, 1), (43, 1), (44, 3), (45, 1), (46, 1), (64, 1) |
| partners | P635 | (1, 1), (2, 2), (4, 1), (6, 1), (7, 1), (8, 1), (10, 1), (11, 1), (14, 1), (15, 1), (16, 1), (17, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1), (30, 1), (31, 1), (32, 1), (33, 1), (34, 1), (35, 1), (36, 1), (37, 1), (38, 1), (41, 1), (42, 1), (43, 1), (44, 2), (45, 1), (46, 1), (64, 12) |
| sponsorsby | S152 | (1, 1), (2, 1), (4, 1), (6, 1), (7, 1), (8, 1), (10, 1), (11, 1), (14, 1), (15, 1), (16, 1), (17, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1), (30, 1), (31, 1), (32, 1), (33, 1), (34, 1), (35, 1), (36, 1), (37, 1), (38, 1), (41, 1), (42, 1), (43, 1), (44, 1), (45, 1), (46, 1) |
| submitting | S153 | (1, 1), (2, 1), (4, 1), (6, 1), (7, 1), (8, 1), (10, 1), (11, 1), (14, 1), (15, 1), (16, 1), (17, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1), (30, 1), (31, 1), (32, 1), (33, 1), (34, 1), (35, 1), (36, 1), (37, 1), (38, 1), (41, 1), (42, 1), (43, 1), (44, 1), (45, 1), (46, 1), (57, 1) |
